year,month,rank,song_title,artist_name
1960,8,3,SHAKIN' ALL OVER,JOHNNY KIDD AND THE PIRATES
1960,8,4,IF SHE SHOULD COME TO YOU,ANTHONY NEWLEY
1960,8,5,WHEN WILL I BE LOVED,THE EVERLY BROTHERS
1960,8,6,I WANNA GO HOME,LONNIE DONEGAN
1960,8,7,LOOK FOR A STAR,GARY MILLS
1960,8,8,WHEN JOHNNY COMES MARCHING HOME/MADE YOU,ADAM FAITH
1960,8,9,AIN'T MISBEHAVIN',TOMMY BRUCE AND THE BRUISERS
1960,8,10,WHAT A MOUTH,TOMMY STEELE
1960,8,11,BECAUSE THEY'RE YOUNG,DUANE EDDY
1960,8,12,ITSY BITSY TEENIE WEENIE YELLOW POLKA DOT BIKINI,BRIAN HYLAND
1960,8,13,ANGELA JONES,MICHAEL COX
1960,8,14,APACHE,THE SHADOWS
1960,8,15,MAMA/ROBOT MAN,CONNIE FRANCIS
1960,8,16,I'M SORRY,BRENDA LEE
1960,8,17,THREE STEPS TO HEAVEN,EDDIE COCHRAN
1960,8,18,LOVE IS LIKE A VIOLIN,KEN DODD
1960,8,19,A MESS OF BLUES,ELVIS PRESLEY
1960,8,20,CATHY'S CLOWN,THE EVERLY BROTHERS
1960,8,21,DOWN YONDER,JOHNNY AND THE HURRICANES
1960,8,22,PISTOL PACKIN' MAMA,GENE VINCENT
1960,8,23,HANDY MAN,JIMMY JONES
1960,8,24,TIE ME KANGAROO DOWN SPORT,ROLF HARRIS
1960,8,25,PAPER ROSES,KAYE SISTERS
1960,8,26,THE LADY IS A TRAMP,BUDDY GRECO
1960,8,27,HE'LL HAVE TO GO,JIM REEVES
1960,8,28,SWEET NOTHIN'S,BRENDA LEE
1960,8,29,ALLEY OOP,HOLLYWOOD ARGYLES
1960,8,30,MAIS OUI,KING BROTHERS
1960,8,31,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,8,32,RIVER, STAY 'WAY FROM MY DOOR
1960,8,33,WONDERFUL WORLD,SAM COOKE
1960,8,34,PAPA LOVES MAMA,JOAN REGAN
1960,8,35,THAT'S LOVE,BILLY FURY
1960,8,36,ONLY THE LONELY,ROY ORBISON
1960,8,37,HOW DO YOU KNOW IT'S LOVE,TERESA BREWER
1960,8,38,GREEN JEANS,FLEE-REKKERS
1960,8,39,BANJO BOY,JAN AND KJELD
1960,8,40,HAPPY GO LUCKY ME/BANJO BOY,GEORGE FORMBY
1960,8,41,ROMANTICA,JANE MORGAN
1960,8,42,WALKING TO NEW ORLEANS,FATS DOMINO
1960,8,43,MUSTAFA CHA CHA CHA,STAIFFI AND HIS MUSTAFAS
1960,8,44,APACHE,BERT WEEDON
1960,8,45,CRADLE OF LOVE,JOHNNY PRESTON
1960,8,46,MUSTAPHA,BOB AZZAM AND HIS ORCHESTRA
