song_title,artist_name
STAY (I MISSED YOU),LISA LOEB & NINE STORIES
KNOW BY NOW,ROBERT PALMER
SUGAR SUGAR,DUKE BAYSEE
AGE OF LONELINESS,ENIGMA
MAGIC,SASHA WITH SAM MOLLISON
BOP GUN (ONE NATION),ICE CUBE FEAT GEORGE CLINTON
WILD NIGHT,J MELLENCAMP & M NDEGEOCELLO
SPEAKEASY,SHED SEVEN
HEART OF STONE,DAVE STEWART
PRETTIEST EYES,BEAUTIFUL SOUTH
SW LIVE EP,PETER GABRIEL
YOUR FAVORITE THING,SUGAR
ONE DAY,D:MOB
DO IT,TONY DI BART
REGGAE MUSIC,UB40
DO YOU WANNA GET FUNKY,C&C MUSIC FACTORY
THIS GENERATION,ROACHFORD
THE SIMPLE THINGS,JOE COCKER
FEEL THE PAIN,DINOSAUR JR
ONLY SAW TODAY/INSTANT KARMA,AMOS
THE RIGHT KINDA LOVER,PATTI LABELLE
GIVE ME ALL YOUR LOVE,MAGIC AFFAIR
ONE GIANT LOVE,CUD
HITS MEDLEY,GIPSY KINGS
ON YA WAY '94,HELICOPTER
GOODBYE BABY AND AMEN,LULU
EVERYBODY'S GOT SUMMER,ATLANTIC STARR
SHINING ROAD,CRANES
TRIPPIN ON SUNSHINE,PIZZAMAN
DRE DAY,DR DRE
LA LA (MEANS I LOVE YOU),SWING OUT SISTER
EVERYTHING IS GONNA BE ALRIGHT,SOUNDS OF BLACKNESS
WALKIN' ON,SHEER BRONZE
CHURA LIYA,BALLY SAGOO
EVERY LITTLE THING HE DOES IS MAGIC,SHAWN COLVIN
LITTLE CHILD,DES'REE
THE SINGLE,RISE
DOGGY DOGG WORLD,SNOOP DOGGY DOGG
THE CHURCH OF THE HOLY SPOOK,SHANE MACGOWAN AND THE POPES
OBSESSION,ULTRA SONIC
TRIPWIRE,LIONROCK
THE QUEEN'S ANTHEM,LOLEATTA HOLLOWAY
CONGO,BOSS
SATURDAY NIGHT (IMPORT),WHIGFIELD
FADE INTO YOU,MAZZY STAR
FOREVER J,TERRY HALL
SIX DAYS,INTERMISSION FEAT LORI GLORI
ALTERED STATES EP,BLACK SCIENCE ORCHESTRA
BRING IT BACK 2 LUV,PROJECT FEATURING GERIDEAU
WHEN YOU RETURN,CAPERCAILLIE
ANALOGUE BUBBLEBATH 4,AFX
HOW IT IS,BIOHAZARD
MY GIRL (THE BIG BAD JOHN SONG),MIKEY & SMILEY FEAT DBD
PIECE OF CRAP,NEIL YOUNG WITH CRAZY HORSE
SILVER SHADOW,ALL SAINTS 1.9.7.5
MAKE IT EASY ON YOURSELF/SITAM,AMAR
BANANA HOLIDAY,BANANAS IN PYJAMAS
SHE DON'T USE JELLY,FLAMING LIPS
ANGEL,SUB SUB
CLOSE TO YOU,FUN FACTORY
NEW YORK EXPRESS,HARDHEADS
WHAT JAIL IS LIKE,AFGHAN WHIGS
FANTASTIC VOYAGE,COOLIO
SATURDAY NIGHT,WHIGFIELD
THE RHYTHM OF THE NIGHT,CORONA
ALWAYS,BON JOVI
ENDLESS LOVE,LUTHER VANDROSS & MARIAH CAREY
HEY NOW(GIRLS JUST WANT TO HAVE FUN),CYNDI LAUPER
STEAM,EAST 17
SWEETNESS,MICHELLE GAYLE
WHAT'S THE FREQUENCY, KENNETH?
CAN YOU FEEL IT?,REEL 2 REAL FEAT MAD STUNTMAN
CONFIDE IN ME,KYLIE MINOGUE
BABY COME BACK,PATO BANTON
NO ONE,2 UNLIMITED
VOODOO PEOPLE,PRODIGY
ZOMBIE,CRANBERRIES
WELCOME TO TOMORROW,SNAP! FEATURING SUMMER
BUG POWDER DUST,BOMB THE BASS
FOREIGN SAND,ROGER TAYLOR & YOSHIKI
OOH AAH (G-SPOT),WAYNE MARSHALL
GROOVE OF LOVE,E.V.E
DON'T SAY IT'S OVER,GUN
HUG MY SOUL,SAINT ETIENNE
WHEN CAN I SEE YOU,BABYFACE
WE ARE THE PIGS,SUEDE
HERE COME THE GOOD TIMES,A HOUSE
STAYING OUT FOR THE SUMMER,DODGY
ORIGINAL NUTTAH,UK APACHI WITH SHY FX
GOOD TIMES,EDIE BRICKELL & NEW BOHEMIANS
FIND ME (ODYSSEY TO ANYOONA),JAM & SPOON FEATURING PLAVKA
ROLLERCOASTER,GRID
LOVE AND TEARS,NAOMI CAMPBELL
BLAME IT ON ME,D:REAM
FIREWORKS,ROXETTE
LOVE HERE I COME (REMIX),BAD BOYS INC.
PINEAPPLE HEAD,CROWDED HOUSE
WRENCH,ALMIGHTY
FOOTSTEPS,STILTSKIN
WE GOT THE LOVE,ERIK
ARE WE HERE?,ORBITAL
WARRIORS,ASWAD
STROKE YOU UP,CHANGING FACES
YESTERDAY, WHEN I WAS MAD
