year,month,rank,artist,song,romance_score,political_score,sad_score
1963,12,19,daveclarkfive,gladallover,0,11,0
1963,12,24,raycharles,busted,2,32,0
1963,12,25,dustyspringfield,ionlywanttobewithyou,4,19,3
1963,12,28,elvispresley,bossanovababy,0,10,0
1963,12,29,hollies,stay,0,9,0
1963,12,49,hollies,searchin,3,21,2
1963,12,50,jimreeves,guilty,0,16,0
1964,1,1,beatles,iwanttoholdyourhand,0,9,2
1964,1,2,beatles,shelovesyou,0,12,2
1964,1,5,dustyspringfield,ionlywanttobewithyou,4,19,3
1964,1,6,daveclarkfive,gladallover,0,11,0
1964,1,9,genepitney,twentyfourhoursfromtulsa,7,23,3
1964,1,12,gerryandthepacemakers,youllneverwalkalone,0,11,2
1964,1,16,elvispresley,kissmequick,4,15,2
1964,1,17,hollies,stay,0,9,0
1964,1,25,shirleybassey,iwhohavenothing,4,18,2
1964,1,30,searchers,sugarandspice,2,12,0
1964,1,38,ronettes,bemybaby,2,10,0
1964,1,40,raycharles,busted,2,32,0
1964,1,45,bobbyvinton,thereivesaiditagain,0,6,2
1964,2,1,searchers,needlesandpins,0,17,2
1964,2,2,daveclarkfive,gladallover,0,11,0
1964,2,4,gerryandthepacemakers,imtheone,2,14,2
1964,2,5,dustyspringfield,ionlywanttobewithyou,4,19,3
1964,2,6,beatles,iwanttoholdyourhand,0,9,2
1964,2,7,genepitney,twentyfourhoursfromtulsa,7,23,3
1964,2,8,hollies,stay,0,9,0
1964,2,9,brendalee,asusual,0,14,3
1964,2,15,elvispresley,kissmequick,4,15,2
1964,2,16,beatles,shelovesyou,0,12,2
1964,2,27,gerryandthepacemakers,youllneverwalkalone,0,11,2
1964,2,30,rickynelson,foryou,2,9,0
1964,2,34,bobbyvinton,thereivesaiditagain,0,6,2
1964,2,40,kingsmen,louielouie,5,7,2
1964,2,43,shirleybassey,iwhohavenothing,4,18,2
1964,3,3,searchers,needlesandpins,0,17,2
1964,3,4,daveclarkfive,bitsandpieces,2,11,5
1964,3,6,gerryandthepacemakers,imtheone,2,14,2
1964,3,9,brendalee,asusual,0,14,3
1964,3,14,daveclarkfive,gladallover,0,11,0
1964,3,16,rickynelson,foryou,2,9,0
1964,3,17,beatles,iwanttoholdyourhand,0,9,2
1964,3,18,dustyspringfield,stayawhile,0,19,2
1964,3,19,genepitney,twentyfourhoursfromtulsa,7,23,3
1964,3,21,royorbison,borneonthewind,0,18,0
1964,3,25,dustyspringfield,ionlywanttobewithyou,4,19,3
1964,3,26,jimreeves,iloveyoubecause,0,22,0
1964,3,27,chuckberry,nadine,5,45,2
1964,3,28,beatles,shelovesyou,0,12,2
1964,3,29,rollingstones,notfadeaway,0,6,0
1964,3,30,kingsmen,louielouie,5,7,2
1964,3,31,hollies,stay,0,9,0
1964,3,39,hollies,justonelook,3,9,0
1964,3,47,dionnewarwick,anyonewhohadaheart,2,9,6
1964,3,48,andywilliams,afoolneverlearns,0,14,0
1964,4,2,hollies,justonelook,3,9,0
1964,4,3,rollingstones,notfadeaway,0,6,0
1964,4,5,jimreeves,iloveyoubecause,0,22,0
1964,4,6,daveclarkfive,bitsandpieces,2,11,5
1964,4,7,genepitney,thatgirlbelongstoyesterday,2,11,3
1964,4,8,beatles,cantbuymelove,0,7,0
1964,4,17,dustyspringfield,stayawhile,0,19,2
1964,4,18,searchers,needlesandpins,0,17,2
1964,4,20,elvispresley,vivalasvegas,0,46,0
1964,4,22,royorbison,borneonthewind,0,18,0
1964,4,24,brendalee,asusual,0,14,3
