year,month,rank,artist,song,romance_score
1964,7,19,dionnewarwick,walkonby,4
1964,7,20,littlerichard,bamalamabamaloo,0
1964,7,24,jimreeves,iwontforgetyou,0
1964,7,30,beatles,aintshesweet,5
1964,7,31,animals,houseoftherisingsun,4
1964,7,33,elvispresley,kissincousins,3
1964,7,40,searchers,dontthrowyourloveaway,0
1964,7,44,beatles,cantbuymelove,3
1964,7,48,gerryandthepacemakers,dontletthesuncatchyoucrying,0
1964,8,1,beatles,aharddaysnight,0
1964,8,2,rollingstones,itsallovernow,3
1964,8,3,dustyspringfield,ijustdontknowwhattodowithmyself,3
1964,8,7,animals,houseoftherisingsun,4
1964,8,8,cliffrichard,onthebeach,0
1964,8,9,jimreeves,iwontforgetyou,0
1964,8,11,beachboys,igetaround,0
1964,8,12,searchers,somedayweregonnaloveagain,0
1964,8,14,royorbison,itsover,8
1964,8,15,elvispresley,kissincousins,3
1964,8,23,jimreeves,iloveyoubecause,0
1964,8,27,everlybrothers,theferriswheel,0
1964,8,31,daveclarkfive,cantyouseethatshesmine,0
1964,8,44,delshannon,handyman,5
1964,8,47,hollies,hereigoagain,5
1964,9,3,jimreeves,iwontforgetyou,0
1964,9,4,kinks,youreallygotme,0
1964,9,5,beatles,aharddaysnight,0
1964,9,7,beachboys,igetaround,0
1964,9,9,rollingstones,itsallovernow,3
1964,9,13,dustyspringfield,ijustdontknowwhattodowithmyself,3
1964,9,14,jimreeves,iloveyoubecause,0
1964,9,15,cliffrichard,onthebeach,0
1964,9,20,elvispresley,suchanight,5
1964,9,21,zombies,shesnotthere,3
1964,9,25,hermanshermits,imintosomethinggood,5
1964,9,26,everlybrothers,theferriswheel,0
1964,9,28,searchers,somedayweregonnaloveagain,0
1964,9,29,fourseasons,ragdoll,0
1964,9,30,animals,houseoftherisingsun,4
1964,9,31,chuckberry,younevercantell,0
1964,9,32,daveclarkfive,thinkingofyoubaby,0
1964,9,38,royorbison,itsover,8
1964,9,40,deanmartin,everybodylovessomebody,3
1964,9,41,elvispresley,kissincousins,3
1964,10,1,hermanshermits,imintosomethinggood,5
1964,10,2,fourseasons,ragdoll,0
1964,10,3,supremes,wheredidourlovego,3
1964,10,6,jimreeves,iwontforgetyou,0
1964,10,10,kinks,youreallygotme,0
1964,10,12,deanmartin,everybodylovessomebody,3
1964,10,14,zombies,shesnotthere,3
1964,10,15,animals,imcrying,6
1964,10,16,searchers,whenyouwalkintheroom,7
1964,10,17,jimreeves,iloveyoubecause,0
